Name,Date,AuthorName,Venue,BibTeX,Notes,Compares To,Models,Datasets,Non-pruning,Results
channel-lasso-lstsq,2017-8,He,CVPR,"@inproceedings{he2017channel,
  title={Channel pruning for accelerating very deep neural networks},
  author={He, Yihui and Zhang, Xiangyu and Sun, Jian},
  booktitle={Proceedings of the IEEE International Conference on Computer Vision},
  pages={1389--1397},
  year={2017}
}",,pruning-filters,"ResNet-56, VGG-16, VGG-16, ResNet-50, ResNet-50, Resnet-50-DWSep, Resnet-50-DWSep, VGG-16, VGG-16, VGG-16, VGG-16","CIFAR-10, ImageNet, Pascal VOC 2007, CIFAR-10, ImageNet, CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"127,128,129,130,131,132,133,393,394,395,396"
network-slimming,2017-8,Liu,CVPR,"@inproceedings{liu2017learning,
  title={Learning efficient convolutional networks through network slimming},
  author={Liu, Zhuang and Li, Jianguo and Shen, Zhiqiang and Huang, Gao and Yan, Shoumeng and Zhang, Changshui},
  booktitle={Proceedings of the IEEE International Conference on Computer Vision},
  pages={2736--2744},
  year={2017}
}",,"pruning-filters,ssl","VGG-A+BN-noDrop, PreResNet-164, VGG-netslim, VGG-netslim, PreResNet-164, fc500-300-100, VGG-netslim, PreResNet-164, DenseNet-40, DenseNet-40, DenseNet-40","ImageNet, CIFAR-10, CIFAR-10, SVHN, SVHN, MNIST, CIFAR-100, CIFAR-100, CIFAR-10, CIFAR-100, SVHN",,"55,56,57,58,59,60,80,81,82,83,84"
more-is-less,2017-7,Dong,CVPR,"@inproceedings{dong2017more,
  title={More is less: A more complicated network with less inference complexity},
  author={Dong, Xuanyi and Huang, Junshi and Yang, Yi and Yan, Shuicheng},
  booktitle={Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition},
  pages={5840--5848},
  year={2017}
}",,,"PreResNet-110, PreResNet-164, WRN-22-8, WRN-28-2, WRN-40-1, WRN-40-2, WRN-40-4, WRN-52-1, PreResNet-164, WRN-16-4, WRN-22-8, WRN-40-1, WRN-40-2, WRN-40-4, WRN-52-1, ResNet-18, ResNet-34, ResNet-20, ResNet-32, ResNet-44","CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-100, CIFAR-100, CIFAR-100, CIFAR-100, CIFAR-100, CIFAR-100, CIFAR-100, ImageNet, ImageNet, ???, ???, ???",,"222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,273,274,275"
thinet-channel-norms,2017-7,Luo,CVPR,"@inproceedings{luo2017thinet,
  title={Thinet: A filter level pruning method for deep neural network compression},
  author={Luo, Jian-Hao and Wu, Jianxin and Lin, Weiyao},
  booktitle={Proceedings of the IEEE international conference on computer vision},
  pages={5058--5066},
  year={2017}
}",,"net-trimming-apoz,pruning-filters","VGG-16-AvgPool, VGG-16, ResNet-50, VGG-16, AlexNet, VGG-16, AlexNet, VGG-GAP, ResNet-50, ResNet-50, VGG-Tiny","CUB200-2011, ImageNet, ImageNet, CUB200-2011, CUB200-2011, Indoor-67-balanced, Indoor-67-balanced, ImageNet, ImageNet, ImageNet, ImageNet",,"134,135,136,137,138,139,140,397,438,439,530"
sze-energy-aware,2017-7,Yang,CVPR,"@inproceedings{yang2017designing,
  title={Designing energy-efficient convolutional neural networks using energy-aware pruning},
  author={Yang, Tien-Ju and Chen, Yu-Hsin and Sze, Vivienne},
  booktitle={Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition},
  pages={5687--5695},
  year={2017}
}",,learning-both,"AlexNet, GoogLeNet, SqueezeNet","ImageNet, ImageNet, ImageNet",,"102,103,104"
sparse-variational-dropout,2017-6,"Molchanov, Dmitry",ICML,"@inproceedings{molchanov2017variational,
  title={Variational dropout sparsifies deep neural networks},
  author={Molchanov, Dmitry and Ashukha, Arsenii and Vetrov, Dmitry},
  booktitle={Proceedings of the 34th International Conference on Machine Learning-Volume 70},
  pages={2498--2507},
  year={2017},
  organization={JMLR. org}
}",,"learning-both,net-surgery,welling-slow-quantize+prune","VGG-Torch-CIFAR10, VGG-Torch-CIFAR10, LeNet-300-100, LeNet-5-Caffe","CIFAR-10, CIFAR-100, MNIST, MNIST",,"176,177,178,179"
babu-training-sparse,2017-6,Srinivas,CVPR Workshops,"@inproceedings{srinivas2017training,
  title={Training sparse neural networks},
  author={Srinivas, Suraj and Subramanya, Akshayvarun and Venkatesh Babu, R},
  booktitle={Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition Workshops},
  pages={138--145},
  year={2017}
}",,"babu-data-free-pruning,memory-bounded-convnets,learning-both","LeNet-5, AlexNet, VGG-16","MNIST, ImageNet, ImageNet",,"323,324,325"
nvidia-taylor-pruning,2017-4,"Molchanov, Pavlo",ICLR,"@article{molchanov2016pruning,
  title={Pruning convolutional neural networks for resource efficient inference},
  author={Molchanov, Pavlo and Tyree, Stephen and Karras, Tero and Aila, Timo and Kautz, Jan},
  journal={arXiv preprint arXiv:1611.06440},
  year={2016}
}",,"net-trimming-apoz,optimal-brain-damage","CaffeNet, VGG-16, R3DCNN","Flowers-102, ImageNet, nvGesture",,"243,244,245"
pruning-filters,2017-3,Li,ICLR,"@article{li2016pruning,
  title={Pruning filters for efficient convnets},
  author={Li, Hao and Kadav, Asim and Durdanovic, Igor and Samet, Hanan and Graf, Hans Peter},
  journal={arXiv preprint arXiv:1608.08710},
  year={2016}
}",,face-prune,"VGG-Torch-CIFAR10, ResNet-56, ResNet-110, ResNet-34, ResNet-56, ResNet-110, ResNet-34, ResNet-34","CIFAR-10, CIFAR-10, CIFAR-10, ImageNet, CIFAR-10, CIFAR-10, ImageNet, ImageNet",,"141,142,143,145,494,495,496,497"
google-interchannel,2017-2,Changpinyo,arXiv,"@article{changpinyo2017power,
  title={The power of sparsity in convolutional neural networks},
  author={Changpinyo, Soravit and Sandler, Mark and Zhmoginov, Andrey},
  journal={arXiv preprint arXiv:1702.06257},
  year={2017}
}",,,"TF-Example-MNIST, TF-Example-CIFAR10, Inception-v3, VGG-16n","MNIST, CIFAR-10, ImageNet, ImageNet",,"146,147,148,149"
welling-slow-quantize+prune,2017-2,Ullrich,ICLR,"@article{ullrich2017soft,
  title={Soft weight-sharing for neural network compression},
  author={Ullrich, Karen and Meeds, Edward and Welling, Max},
  journal={arXiv preprint arXiv:1702.04008},
  year={2017}
}",,"learning-both,net-surgery","LeNet-300-100, LeNet-5-Caffe, WRN-16-4, WRN-16-4","MNIST, MNIST, CIFAR-10, CIFAR-100",,"254,247,255,259"
learning-num-neurons,2016-12,Alvarez,NIPS,"@inproceedings{alvarez2016learning,
  title={Learning the number of neurons in deep networks},
  author={Alvarez, Jose M and Salzmann, Mathieu},
  booktitle={Advances in Neural Information Processing Systems},
  pages={2270--2278},
  year={2016}
}","they apparently report on places2-401 in their supplementary materials, but link to sup materials is broken on nips website: https://papers.nips.cc/paper/6372-learning-the-number-of-neurons-in-deep-networks-supplemental.zip
",,"BNetC, Dec8, Dec3","ImageNet, ImageNet, ICDAR",,"251,252,253"
perforated-cnns,2016-12,Figurnov,NIPS,"@inproceedings{figurnov2016perforatedcnns,
  title={Perforatedcnns: Acceleration through elimination of redundant convolutions},
  author={Figurnov, Mikhail and Ibraimova, Aizhan and Vetrov, Dmitry P and Kohli, Pushmeet},
  booktitle={Advances in Neural Information Processing Systems},
  pages={947--955},
  year={2016}
}",,zhang-accel-very-deep,"NIN, AlexNet, VGG-16, AlexNet, AlexNet, AlexNet, AlexNet, AlexNet, VGG-16, VGG-16, VGG-16, VGG-16, VGG-16","CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"240,241,242,414,415,416,417,418,419,420,421,422,423"
net-surgery,2016-12,Guo,NIPS,"@inproceedings{guo2016dynamic,
  title={Dynamic network surgery for efficient dnns},
  author={Guo, Yiwen and Yao, Anbang and Chen, Yurong},
  booktitle={Advances In Neural Information Processing Systems},
  pages={1379--1387},
  year={2016}
}",,learning-both,"LeNet-300-100, LeNet-5-Caffe, CaffeNet","MNIST, MNIST, ImageNet",,"163,164,158"
ssl,2016-12,Wen,NIPS,"@inproceedings{wen2016learning,
  title={Learning structured sparsity in deep neural networks},
  author={Wen, Wei and Wu, Chunpeng and Wang, Yandan and Chen, Yiran and Li, Hai},
  booktitle={Advances in neural information processing systems},
  pages={2074--2082},
  year={2016}
}",,learning-both,"fc500-300-100, LeNet-5-Caffe, CaffeNet, Cifar-net, ResNet-20, fc500-300, fc294-166, fc174-78, CaffeNet, CaffeNet, CaffeNet, CaffeNet","MNIST, MNIST, ImageNet, CIFAR-10, CIFAR-10, MNIST, MNIST, MNIST, ImageNet, ImageNet, ImageNet, ImageNet",,"153,154,155,156,157,189,190,191,482,484,485,486"
babu-generalized-dropout,2016-11,Srinivas,arXiv,"@article{srinivas2016generalized,
  title={Generalized dropout},
  author={Srinivas, Suraj and Babu, R Venkatesh},
  journal={arXiv preprint arXiv:1611.06791},
  year={2016}
}",doesn't really seem to be about pruning; maybe exclude from spreadsheets,babu-learning-architecture,"LeNet-5-Caffe, ResNet-32, ResNet-56, GenericNet","MNIST, CIFAR-10, CIFAR-10, CIFAR-10",,"318,317,319,320"
course-pruning,2016-10,Anwar,arXiv,"@article{anwar2016compact,
  title={Compact deep convolutional neural networks with coarse pruning},
  author={Anwar, Sajid and Sung, Wonyong},
  journal={arXiv preprint arXiv:1610.09639},
  year={2016}
}",,,"CNN_small, CNN_large, CNN_medium","CIFAR-10, CIFAR-10, SVHN",,"165,166,159"
babu-learning-architecture,2016-8,Srinivas,BMVC,"@article{srinivas2015learning,
  title={Learning neural network architectures using backpropagation},
  author={Srinivas, Suraj and Babu, R Venkatesh},
  journal={arXiv preprint arXiv:1511.05497},
  year={2015}
}","previously titled ""Learning Neural Network Architectures using Backpropagation"" according to arXiv",babu-data-free-pruning,"LeNet-5-Caffe, CaffeNet, CaffeNet, CaffeNet","MNIST, ImageNet, ImageNet, ImageNet",,"321,322,429,430"
net-trimming-apoz,2016-7,Hu,arXiv,"@article{hu2016network,
  title={Network trimming: A data-driven neuron pruning approach towards efficient deep architectures},
  author={Hu, Hengyuan and Peng, Rui and Tai, Yu-Wing and Tang, Chi-Keung},
  journal={arXiv preprint arXiv:1607.03250},
  year={2016}
}",,,"LeNet-5, VGG-16, VGG-16, VGG-16, VGG-16, VGG-16","MNIST, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"160,161,398,399,400,401"
pan-dropneuron,2016-7,Pan,arXiv,"@article{pan2016dropneuron,
  title={Dropneuron: Simplifying the structure of deep neural networks},
  author={Pan, Wei and Dong, Hao and Guo, Yike},
  journal={arXiv preprint arXiv:1606.07326},
  year={2016}
}","venue: despite what the footer says, pretty sure this didn't actually get published in nips (there doesn't seem to be a published version)",,"autoenc-fc128-64-128, LeNet-5","MNIST, MNIST",,"332,333"
group-sparse-dnns,2016-7,Scardapane,Neurocomputing,"@article{scardapane2017group,
  title={Group sparse regularization for deep neural networks},
  author={Scardapane, Simone and Comminiello, Danilo and Hussain, Amir and Uncini, Aurelio},
  journal={Neurocomputing},
  volume={241},
  pages={81--89},
  year={2017},
  publisher={Elsevier}
}",,,"fc40-40-30-11, fc400-300-100-10, fc50-50-20-7, fc40-20","SSD, MNIST, Covertype, Digits",,"180,182,183,186"
lempitsky-fast-convnets,2016-6,Lebedev,CVPR,"@inproceedings{lebedev2016fast,
  title={Fast convnets using group-wise brain damage},
  author={Lebedev, Vadim and Lempitsky, Victor},
  booktitle={Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition},
  pages={2554--2564},
  year={2016}
}","pretty sure we need to not compare their numerical caffenet results to others, because the ""densities"" they report are weighted combos of fractions of nnz for different layers, weighted by forward propagation time (""When reporting the final density in sub- tasks (ii) and (iii), we weigh the densities in different layers by the forward propagation times.""). Which also suggests that their speedups are timed, not theoretical","exploit-linear-structure,lempitsky-cp-decomp,jaderberg-low-rank-conv","LeNet-5, VGG-19, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet","MNIST, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"150,152,464,465,466,467,468,469,470,471,472,480,473,474,475,476,477,478,479"
samsung-vbmf-tucker,2016-4,Kim,ICLR,"@article{kim2015compression,
  title={Compression of deep convolutional neural networks for fast and low power mobile applications},
  author={Kim, Yong-Deok and Park, Eunhyeok and Yoo, Sungjoo and Choi, Taelim and Yang, Lu and Shin, Dongjun},
  journal={arXiv preprint arXiv:1511.06530},
  year={2015}
}",,zhang-accel-very-deep,"???, VGG-16, CaffeNet, GoogLeNet","ImageNet, ImageNet, ImageNet, ImageNet",checked,"246,248,249,250"
divnet,2016-3,Mariet,ICLR,"@article{mariet2015diversity,
  title={Diversity networks: Neural network compression using determinantal point processes},
  author={Mariet, Zelda and Sra, Suvrit},
  journal={arXiv preprint arXiv:1511.05077},
  year={2015}
}",,he-reshaping,"fc500-500-sigmoid, fc500-500-sigmoid, fc3072-1000-1000-1000-sigmoid","MNIST, MNIST-ROT, CIFAR-10",,"162,167,168"
han-prune-quant-huff,2016-2,Han,ICLR,"@article{han2015deep,
  title={Deep compression: Compressing deep neural networks with pruning, trained quantization and huffman coding},
  author={Han, Song and Mao, Huizi and Dally, William J},
  journal={arXiv preprint arXiv:1510.00149},
  year={2015}
}",,learning-both,"CaffeNet, VGG-16, LeNet-300-100, LeNet-5","ImageNet, ImageNet, MNIST, MNIST",,"262,263,264,269"
learning-both,2015-12,Han,NIPS,"@inproceedings{han2015learning,
  title={Learning both weights and connections for efficient neural network},
  author={Han, Song and Pool, Jeff and Tran, John and Dally, William},
  booktitle={Advances in neural information processing systems},
  pages={1135--1143},
  year={2015}
}",,"exploit-linear-structure,babu-data-free-pruning,memory-bounded-convnets","LeNet-300-100, LeNet-5, CaffeNet, VGG-16, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet, CaffeNet","MNIST, MNIST, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"170,171,172,173,402,404,405,406,407,408,409"
zhang-accel-very-deep,2015-11,Zhang,TPAMI,"@article{zhang2015accelerating,
  title={Accelerating very deep convolutional networks for classification and detection},
  author={Zhang, Xiangyu and Zou, Jianhua and He, Kaiming and Sun, Jian},
  journal={IEEE transactions on pattern analysis and machine intelligence},
  volume={38},
  number={10},
  pages={1943--1955},
  year={2015},
  publisher={IEEE}
}",,jaderberg-low-rank-conv,"SPP-10, VGG-16, AlexNet, VGG-16, VGG-16, VGG-16","ImageNet, ImageNet, ImageNet, Pascal VOC 2007, ImageNet, ImageNet",checked,"280,281,282,283,582,583"
face-prune,2015-8,Polyak,IEEE Access,"@article{polyak2015channel,
  title={Channel-level acceleration of deep face representations},
  author={Polyak, Adam and Wolf, Lior},
  journal={IEEE Access},
  volume={3},
  pages={2163--2175},
  year={2015},
  publisher={IEEE}
}",,zhang-accel-very-deep,Yi's Face Network,CASIA-WebFace,,239
babu-data-free-pruning,2015-7,Srinivas,BMVC,"@article{srinivas2015data,
  title={Data-free parameter pruning for deep neural networks},
  author={Srinivas, Suraj and Babu, R Venkatesh},
  journal={arXiv preprint arXiv:1507.06149},
  year={2015}
}",,"optimal-brain-damage,optimal-brain-surgeon","LeNet-5-Caffe, CaffeNet, CaffeNet, CaffeNet","MNIST, ImageNet, ImageNet, ImageNet",,"312,298,427,428"
liu-sparse-conv,2015-6,Liu,CVPR,"@inproceedings{liu2015sparse,
  title={Sparse convolutional neural networks},
  author={Liu, Baoyuan and Wang, Min and Foroosh, Hassan and Tappen, Marshall and Pensky, Marianna},
  booktitle={Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition},
  pages={806--814},
  year={2015}
}",,exploit-linear-structure,CaffeNet,ImageNet,,169
lempitsky-cp-decomp,2015-4,Lebedev,ICLR,"@article{lebedev2014speeding,
  title={Speeding-up convolutional neural networks using fine-tuned cp-decomposition},
  author={Lebedev, Vadim and Ganin, Yaroslav and Rakhuba, Maksim and Oseledets, Ivan and Lempitsky, Victor},
  journal={arXiv preprint arXiv:1412.6553},
  year={2014}
}",,jaderberg-low-rank-conv,"CharNet, CaffeNet","???, ImageNet",checked,"277,278"
memory-bounded-convnets,2014-12,Collins,arXiv,"@article{collins2014memory,
  title={Memory bounded deep convolutional networks},
  author={Collins, Maxwell D and Kohli, Pushmeet},
  journal={arXiv preprint arXiv:1412.1442},
  year={2014}
}",,,"LeNet-5-Caffe, CIFAR-10 Quick, CaffeNet","MNIST, CIFAR-10, ImageNet",,"337,338,339"
exploit-linear-structure,2014-12,Denton,NIPS,"@inproceedings{denton2014exploiting,
  title={Exploiting linear structure within convolutional networks for efficient evaluation},
  author={Denton, Emily L and Zaremba, Wojciech and Bruna, Joan and LeCun, Yann and Fergus, Rob},
  booktitle={Advances in neural information processing systems},
  pages={1269--1277},
  year={2014}
}",,,AlexNet,ImageNet,checked,174
he-reshaping,2014-5,He,ICASSP,"'@inproceedings{he2014reshaping,
  title={Reshaping deep neural network for fast decoding by node-pruning},
  author={He, Tianxing and Fan, Yuchen and Qian, Yanmin and Tan, Tian and Yu, Kai},
  booktitle={2014 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)},
  pages={245--249},
  year={2014},
  organization={IEEE}
}",,,"L5-1024, fc2048x7","TIMIT, Switchboard English",,"310,311"
jaderberg-low-rank-conv,2014-5,Jaderberg,BMVC,"@inproceedings{jaderberg2014speeding,
  title={Speeding up Convolutional Neural Networks with Low Rank Expansions},
  author={Jaderberg, Max and Vedaldi, Andrea and Zisserman, Andrew},
  booktitle={Proceedings of the British Machine Vision Conference. BMVA Press},
  year={2014}
}",,,conv48-64-128-37,Combined Char Recognition Dataset,checked,279
early-brain-damage,1997-12,Tresp,NIPS,"@inproceedings{tresp1997early,
  title={Early brain damage},
  author={Tresp, Volker and Neuneier, Ralph and Zimmermann, Hans-Georg},
  booktitle={Advances in neural information processing systems},
  pages={669--675},
  year={1997}
}",,optimal-brain-damage,"fc10, fc5, fc3","UCI-BreastCancer, UCI-Diabetes, UCI-Boston",,"340,341,342"
optimal-brain-surgeon,1993-4,Hassibi,ICNN,"@inproceedings{hassibi1993optimal,
  title={Optimal brain surgeon and general network pruning},
  author={Hassibi, Babak and Stork, David G and Wolff, Gregory J},
  booktitle={IEEE international conference on neural networks},
  pages={293--299},
  year={1993},
  organization={IEEE}
}",,"optimal-brain-damage,learning-both","fc3, fc3, fc3, ???","MONK1, MONK2, MONK3, ???",,"343,344,345,346"
optimal-brain-damage,1990-12,Lecun,NIPS,"@inproceedings{lecun1990optimal,
  title={Optimal brain damage},
  author={LeCun, Yann and Denker, John S and Solla, Sara A},
  booktitle={Advances in neural information processing systems},
  pages={598--605},
  year={1990}
}",,,???,1990 Handwritten Digits,,175
